Ticker,Country
OEDV,USA
AAPL,USA
BAC,USA
AMZN,USA
T,USA
GOOG,USA
MO,USA
DAL,USA
AA,USA
AXP,USA
DD,USA
BABA,USA
ABT,USA
UA,USA
AMAT,USA
AMGN,USA
AAL,USA
AIG,USA
ALL,USA
ADBE,USA
GOOGL,USA
ACN,USA
ABBV,USA
MT,USA
LLY,USA
AGN,USA
APA,USA
ADP,USA
APC,USA
AKAM,USA
NLY,USA
ABX,USA
ATVI,USA
ADSK,USA
ADM,USA
BMH.AX,Australia
WBA,USA
ARNA,USA
LUV,USA
ACAD,USA
PANW,USA
AMD,USA
AET,USA
AEP,USA
ALXN,USA
CLMS,USA
AVGO,USA
EA,USA
DB,USA
RAI,USA
AEM,USA
APD,USA
AMBA,USA
NVS,USA
APOL,USA
ANF,USA
LULU,USA
RAD,USA
BRK.AX,Australia
ARRY,USA
AGNC,USA
JBLU,USA
A,USA
ORLY,USA
FOLD,USA
AZO,USA
ATML,USA
AN,USA
AZN,USA
AES,USA
GAS,USA
BUD,USA
ARR,USA
BDX,USA
AKS,USA
AB,USA
ACOR,USA
CS,USA
AFL,USA
ADI,USA
AEGR,USA
ACIW,USA
AMP,USA
AVP,USA
AMTD,USA
AEO,USA
AWK,USA
NVO,USA
ALTR,USA
ALK,USA
PAA,USA
MTU.AX,Australia
ARCC,USA
AAP,USA
NAT,USA
FNMA,USA
FAV,USA
AIV,USA
AGIO,USA
AEE,USA
UBS,USA
AVXL,USA
ARLP,USA
ANTM,USA
AGU,USA
AG,USA
AFSI,USA
ABC,USA
STO,USA
ATI,USA
ADT,USA
AVB,USA
ATW,USA
ALNY,USA
LH,USA
AVY,USA
AUY,USA
ASH,USA
ARMH,USA
ARIA,USA
ANR,USA
AINV,USA
ACXM,USA
ACHN,USA
ACET,USA
ABMD,USA
ABM,USA
VA,USA
LIFE,USA
ATO,USA
ARP,USA
AON,USA
ADXS,USA
ADC,USA
APU,USA
SAVE,USA
AV,USA
AKRX,USA
ADS,USA
ABAX,USA
AYI,USA
AWH,USA
ASML,USA
AMT,USA
ALDR,USA
ACM,USA
DWA,USA
ATRS,USA
ARW,USA
ARI,USA
ARG,USA
AR,USA
AMCC,USA
AMC,USA
AL,USA
AGEN,USA
AAN,USA
WTR,USA
FCAU,USA
BAH,USA
AXAS,USA
AVT,USA
ALB,USA
AIZ,USA
SAIC,USA
CAR,USA
AXLL,USA
AU,USA
ARO,USA
APH,USA
ANTH,USA
AMX,USA
AMDA,USA
AI,USA
ABCO,USA
WMC,USA
MPX.AX,Australia
JKHY,USA
AVAV,USA
AMKR,USA
ALJ,USA
ACH,USA
GPH.AX,Australia
ERC,USA
APPY,USA
ANAC,USA
AEIS,USA
Y,USA
MTGE,USA
CENX,USA
ASPS,USA
AMRN,USA
AMPE,USA
AMAG,USA
ALKS,USA
AFFX,USA
ADES,USA
ACAT,USA
AAON,USA
XLRN,USA
VRSK,USA
VJET,USA
OA,USA
ATLS,USA
APTS,USA
APO,USA
ALSK,USA
ALG,USA
AHC,USA
ACTG,USA
ACAS,USA
RBA,USA
MAA,USA
BAM,USA
ATHN,USA
AT,USA
ASX,USA
ARCO,USA
ANET,USA
ANCX,USA
AIR,USA
AF,USA
WAB,USA
RS,USA
PKG,USA
CSH,USA
AXDX,USA
AVHI,USA
AVA,USA
ATHX,USA
ARWR,USA
ANGI,USA
AMG,USA
ALSN,USA
ALGN,USA
AKBA,USA
AGO,USA
AEZS,USA
ACRX,USA
ROK,USA
GLPI,USA
DNI,USA
AZZ,USA
ATRC,USA
ARRS,USA
ARMK,USA
AOS,USA
ANFI,USA
AMID,USA
AMCX,USA
ALIM,USA
ALE,USA
AHT,USA
ACW,USA
ABB,USA
AALI.JK,Indonesia
SPR,USA
SEE,USA
RDEN,USA
PAAS,USA
DLPH,USA
ADAC,USA
CBL,USA
BBVA,USA
AYR,USA
APOG,USA
ANDE,USA
AMSC,USA
AMRS,USA
AMED,USA
ALEX,USA
ALCO,USA
ADUS,USA
ACTA,USA
ACST,USA
AAWW,USA
WMS,USA
PAG,USA
MDRX,USA
KLIC,USA
ETH,USA
AZPN,USA
AXE,USA
ATNY,USA
APRI,USA
AMH,USA
AME,USA
AJG,USA
AIQ,USA
AHGP,USA
AGCO,USA
AERI,USA
ACRE,USA
ABEO,USA
WAL,USA
SYT,USA
SHLM,USA
NOG,USA
HTA,USA
GIII,USA
DAVE,USA
CVU,USA
BSI,USA
AWAY,USA
ATU,USA
ASTI,USA
AREX,USA
ARE,USA
ANSS,USA
AMNB,USA
AMBS,USA
ALR,USA
AIXG,USA
AIN,USA
AHL,USA
AGX,USA
AEG,USA
ADTN,USA
ADMS,USA
ACLS,USA
ABG,USA
ZX,USA
NXJ,USA
KS,USA
HOLI,USA
GPI,USA
ENI,USA
BEAV,USA
AXTA,USA
AWR,USA
AWI,USA
AVEO,USA
AUO,USA
ATHM,USA
ATAX,USA
ASM,USA
AROC,USA
ANH,USA
ALX,USA
AHS,USA
AGI,USA
AER,USA
AE,USA
RHHBY,USA
PETX,USA
ODC,USA
NAO,USA
KAR,USA
HUSA,USA
HIVE,USA
FMS,USA
DOX,USA
CXW,USA
AZUR,USA
AXS,USA
AXL,USA
AWX,USA
AVID,USA
ASNA,USA
ASGN,USA
ARDX,USA
ARAY,USA
AQXP,USA
APT,USA
APDN,USA
AMBC,USA
ALGT,USA
ALDW,USA
AIT,USA
AIRM,USA
AIMC,USA
AEL,USA
AEHR,USA
ADHD,USA
ACUR,USA
ACHC,USA
ACFC,USA
ACCO,USA
ABY,USA
TA,USA
RPAI,USA
MANH,USA
LAMR,USA
KYN,USA
AXN,USA
ATRO,USA
ATNI,USA
ARCW,USA
APEI,USA
AP,USA
ANIK,USA
ANGO,USA
AMTG,USA
AMSG,USA
AMOT,USA
AM,USA
ALV,USA
